nacionalidad,total titulares,porcentaje
NA,23.0,0.001449571305042743
afganistan,9.0,5.672235541471605E-4
africa,2.0,1.26049678699369E-4
albania,1.0,6.30248393496845E-5
alemania,9.0,5.672235541471605E-4
angola,2.0,1.26049678699369E-4
arabia saudita,1.0,6.30248393496845E-5
argentina,1380318.0,86.9943202014778
armenia,1.0,6.30248393496845E-5
australia,2.0,1.26049678699369E-4
bahamas,1.0,6.30248393496845E-5
belgica,2.0,1.26049678699369E-4
bielorrusia,1.0,6.30248393496845E-5
bielorrusia,1.0,6.30248393496845E-5
bolivia,59659.0,3.759998890762827
bolivia,386.0,0.02432758798897822
brasil,389.0,0.02451666250702727
brasil,2.0,1.26049678699369E-4
camboya,1.0,6.30248393496845E-5
camerun,3.0,1.890745180490535E-4
canada,5.0,3.151241967484225E-4
chile,1908.0,0.120251393479198
chile,24.0,0.001512596144392428
china,4.0,2.52099357398738E-4
colombia,487.0,0.03069309676329635
colombia,3.0,1.890745180490535E-4
congo,2.0,1.26049678699369E-4
corea,1.0,6.30248393496845E-5
corea,2.0,1.26049678699369E-4
costa rica,9.0,5.672235541471605E-4
cuba,21.0,0.001323521626343374
republica dominacana,6.0,3.78149036098107E-4
republica dominacana,7.0,4.411738754477915E-4
ecuador,113.0,0.007121806846514349
ecuador,2.0,1.26049678699369E-4
eeuu,1.0,6.30248393496845E-5
el salvador,6.0,3.78149036098107E-4
españa,6.0,3.78149036098107E-4
españa,40.0,0.00252099357398738
españa,2.0,1.26049678699369E-4
estados unidos,40.0,0.00252099357398738
NA,25.0,0.001575620983742112
filipina,1.0,6.30248393496845E-5
francia,8.0,5.04198714797476E-4
ghana,1.0,6.30248393496845E-5
gran bretaña,1.0,6.30248393496845E-5
guatemala,5.0,3.151241967484225E-4
guinea,3.0,1.890745180490535E-4
haiti,37.0,0.002331919055938326
holanda,1.0,6.30248393496845E-5
honduras,6.0,3.78149036098107E-4
hungria,1.0,6.30248393496845E-5
iran,1.0,6.30248393496845E-5
israel,2.0,1.26049678699369E-4
italia,30.0,0.001890745180490535
jamaica,1.0,6.30248393496845E-5
laos,6.0,3.78149036098107E-4
libano,1.0,6.30248393496845E-5
argentina,1.0,6.30248393496845E-5
mexico,1.0,6.30248393496845E-5
mexico,39.0,0.002457968734637695
nicaragua,5.0,3.151241967484225E-4
nigeria,11.0,6.932732328465295E-4
nigeria,1.0,6.30248393496845E-5
no indica,1.0,6.30248393496845E-5
pakistan,1.0,6.30248393496845E-5
panama,4.0,2.52099357398738E-4
papua,2.0,1.26049678699369E-4
paraguay,50741.0,3.197943373442341
paraguay,171.0,0.01077724752879605
peru,14148.0,0.8916754271193362
peru,198.0,0.01247891819123753
polonia,1.0,6.30248393496845E-5
portugal,2.0,1.26049678699369E-4
siria,1.0,6.30248393496845E-5
republica checa,1.0,6.30248393496845E-5
republica dominacana,8.0,5.04198714797476E-4
republica dominacana,198.0,0.01247891819123753
rumania,2.0,1.26049678699369E-4
rusia,2.0,1.26049678699369E-4
rusia,1.0,6.30248393496845E-5
rusia,1.0,6.30248393496845E-5
el salvador,1.0,6.30248393496845E-5
senegal,377.0,0.02376036443483106
serbia,1.0,6.30248393496845E-5
sin informar,1584.0,0.09983134552990025
suiza,1.0,6.30248393496845E-5
tailandia,1.0,6.30248393496845E-5
turquía,1.0,6.30248393496845E-5
tuvalu,1.0,6.30248393496845E-5
ucrania,13.0,8.193229115458984E-4
ucrania,2.0,1.26049678699369E-4
uruguay,1904.0,0.1199992941217993
uruguay,13.0,8.193229115458984E-4
uruguay,1.0,6.30248393496845E-5
venezuela,6.0,3.78149036098107E-4
venezuela,294.0,0.01852930276880724
NA,73303.0,4.619909798849923
