"ano","juri","juri_nombre","sexo_codigo","sexo_nombre","edad","poblacion"
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3571540
2010,"01","TOTAL DEL PAÍS","1","Varones","0-4",1838771
2010,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1732769
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3507135
2010,"01","TOTAL DEL PAÍS","1","Varones","5-9",1794531
2010,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1712604
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3541954
2010,"01","TOTAL DEL PAÍS","1","Varones","10-14",1801750
2010,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1740204
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3559813
2010,"01","TOTAL DEL PAÍS","1","Varones","15-19",1797164
2010,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1762649
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3346483
2010,"01","TOTAL DEL PAÍS","1","Varones","20-24",1674870
2010,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1671613
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3166874
2010,"01","TOTAL DEL PAÍS","1","Varones","25-29",1575889
2010,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1590985
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3112375
2010,"01","TOTAL DEL PAÍS","1","Varones","30-34",1540513
2010,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1571862
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2711144
2010,"01","TOTAL DEL PAÍS","1","Varones","35-39",1334655
2010,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1376489
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2347809
2010,"01","TOTAL DEL PAÍS","1","Varones","40-44",1149610
2010,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1198199
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2212137
2010,"01","TOTAL DEL PAÍS","1","Varones","45-49",1076990
2010,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1135147
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2062422
2010,"01","TOTAL DEL PAÍS","1","Varones","50-54",997584
2010,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1064838
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1877071
2010,"01","TOTAL DEL PAÍS","1","Varones","55-59",898643
2010,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",978428
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1628569
2010,"01","TOTAL DEL PAÍS","1","Varones","60-64",765679
2010,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",862890
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1304566
2010,"01","TOTAL DEL PAÍS","1","Varones","65-69",594668
2010,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",709898
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1029030
2010,"01","TOTAL DEL PAÍS","1","Varones","70-74",444901
2010,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",584129
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",808031
2010,"01","TOTAL DEL PAÍS","1","Varones","75-79",324635
2010,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",483396
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",567436
2010,"01","TOTAL DEL PAÍS","1","Varones","80-84",202269
2010,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",365167
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",300955
2010,"01","TOTAL DEL PAÍS","1","Varones","85-89",94299
2010,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",206656
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",104982
2010,"01","TOTAL DEL PAÍS","1","Varones","90-94",27476
2010,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",77506
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",24631
2010,"01","TOTAL DEL PAÍS","1","Varones","95-99",5020
2010,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",19611
2010,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",3496
2010,"01","TOTAL DEL PAÍS","1","Varones","100 y más",787
2010,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",2709
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3622962
2011,"01","TOTAL DEL PAÍS","1","Varones","0-4",1865789
2011,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1757173
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3507340
2011,"01","TOTAL DEL PAÍS","1","Varones","5-9",1796735
2011,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1710605
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3530131
2011,"01","TOTAL DEL PAÍS","1","Varones","10-14",1797932
2011,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1732199
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3573638
2011,"01","TOTAL DEL PAÍS","1","Varones","15-19",1806648
2011,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1766990
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3395590
2011,"01","TOTAL DEL PAÍS","1","Varones","20-24",1701340
2011,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1694250
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3184168
2011,"01","TOTAL DEL PAÍS","1","Varones","25-29",1585381
2011,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1598787
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3142982
2011,"01","TOTAL DEL PAÍS","1","Varones","30-34",1556663
2011,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1586319
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2800329
2011,"01","TOTAL DEL PAÍS","1","Varones","35-39",1379507
2011,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1420822
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2396702
2011,"01","TOTAL DEL PAÍS","1","Varones","40-44",1174136
2011,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1222566
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2227234
2011,"01","TOTAL DEL PAÍS","1","Varones","45-49",1084695
2011,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1142539
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2084856
2011,"01","TOTAL DEL PAÍS","1","Varones","50-54",1008281
2011,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1076575
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1902187
2011,"01","TOTAL DEL PAÍS","1","Varones","55-59",910396
2011,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",991791
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1664823
2011,"01","TOTAL DEL PAÍS","1","Varones","60-64",782593
2011,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",882230
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1342617
2011,"01","TOTAL DEL PAÍS","1","Varones","65-69",612286
2011,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",730331
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1047618
2011,"01","TOTAL DEL PAÍS","1","Varones","70-74",453580
2011,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",594038
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",813519
2011,"01","TOTAL DEL PAÍS","1","Varones","75-79",327143
2011,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",486376
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",571682
2011,"01","TOTAL DEL PAÍS","1","Varones","80-84",204429
2011,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",367253
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",310367
2011,"01","TOTAL DEL PAÍS","1","Varones","85-89",97160
2011,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",213207
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",113834
2011,"01","TOTAL DEL PAÍS","1","Varones","90-94",30245
2011,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",83589
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",24266
2011,"01","TOTAL DEL PAÍS","1","Varones","95-99",4851
2011,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",19415
2011,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",4645
2011,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1001
2011,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",3644
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3671011
2012,"01","TOTAL DEL PAÍS","1","Varones","0-4",1890649
2012,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1780362
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3511823
2012,"01","TOTAL DEL PAÍS","1","Varones","5-9",1801192
2012,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1710631
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3521389
2012,"01","TOTAL DEL PAÍS","1","Varones","10-14",1795551
2012,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1725838
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3574520
2012,"01","TOTAL DEL PAÍS","1","Varones","15-19",1809575
2012,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1764945
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3444594
2012,"01","TOTAL DEL PAÍS","1","Varones","20-24",1728135
2012,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1716459
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3212958
2012,"01","TOTAL DEL PAÍS","1","Varones","25-29",1600602
2012,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1612356
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","30-34",3154334
2012,"01","TOTAL DEL PAÍS","1","Varones","30-34",1563298
2012,"01","TOTAL DEL PAÍS","2","Mujeres","30-34",1591036
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","35-39",2890574
2012,"01","TOTAL DEL PAÍS","1","Varones","35-39",1424979
2012,"01","TOTAL DEL PAÍS","2","Mujeres","35-39",1465595
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","40-44",2457684
2012,"01","TOTAL DEL PAÍS","1","Varones","40-44",1204662
2012,"01","TOTAL DEL PAÍS","2","Mujeres","40-44",1253022
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","45-49",2241583
2012,"01","TOTAL DEL PAÍS","1","Varones","45-49",1092116
2012,"01","TOTAL DEL PAÍS","2","Mujeres","45-49",1149467
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","50-54",2107503
2012,"01","TOTAL DEL PAÍS","1","Varones","50-54",1019205
2012,"01","TOTAL DEL PAÍS","2","Mujeres","50-54",1088298
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","55-59",1926230
2012,"01","TOTAL DEL PAÍS","1","Varones","55-59",921679
2012,"01","TOTAL DEL PAÍS","2","Mujeres","55-59",1004551
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","60-64",1697644
2012,"01","TOTAL DEL PAÍS","1","Varones","60-64",797936
2012,"01","TOTAL DEL PAÍS","2","Mujeres","60-64",899708
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","65-69",1383542
2012,"01","TOTAL DEL PAÍS","1","Varones","65-69",631151
2012,"01","TOTAL DEL PAÍS","2","Mujeres","65-69",752391
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","70-74",1069936
2012,"01","TOTAL DEL PAÍS","1","Varones","70-74",464039
2012,"01","TOTAL DEL PAÍS","2","Mujeres","70-74",605897
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","75-79",820245
2012,"01","TOTAL DEL PAÍS","1","Varones","75-79",330001
2012,"01","TOTAL DEL PAÍS","2","Mujeres","75-79",490244
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","80-84",575646
2012,"01","TOTAL DEL PAÍS","1","Varones","80-84",206862
2012,"01","TOTAL DEL PAÍS","2","Mujeres","80-84",368784
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","85-89",319518
2012,"01","TOTAL DEL PAÍS","1","Varones","85-89",99878
2012,"01","TOTAL DEL PAÍS","2","Mujeres","85-89",219640
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","90-94",121659
2012,"01","TOTAL DEL PAÍS","1","Varones","90-94",32570
2012,"01","TOTAL DEL PAÍS","2","Mujeres","90-94",89089
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","95-99",25647
2012,"01","TOTAL DEL PAÍS","1","Varones","95-99",5240
2012,"01","TOTAL DEL PAÍS","2","Mujeres","95-99",20407
2012,"01","TOTAL DEL PAÍS","0","Ambos sexos","100 y más",5231
2012,"01","TOTAL DEL PAÍS","1","Varones","100 y más",1071
2012,"01","TOTAL DEL PAÍS","2","Mujeres","100 y más",4160
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","0-4",3712611
2013,"01","TOTAL DEL PAÍS","1","Varones","0-4",1911781
2013,"01","TOTAL DEL PAÍS","2","Mujeres","0-4",1800830
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","5-9",3522721
2013,"01","TOTAL DEL PAÍS","1","Varones","5-9",1808975
2013,"01","TOTAL DEL PAÍS","2","Mujeres","5-9",1713746
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","10-14",3515301
2013,"01","TOTAL DEL PAÍS","1","Varones","10-14",1794434
2013,"01","TOTAL DEL PAÍS","2","Mujeres","10-14",1720867
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","15-19",3566154
2013,"01","TOTAL DEL PAÍS","1","Varones","15-19",1807807
2013,"01","TOTAL DEL PAÍS","2","Mujeres","15-19",1758347
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","20-24",3489936
2013,"01","TOTAL DEL PAÍS","1","Varones","20-24",1753346
2013,"01","TOTAL DEL PAÍS","2","Mujeres","20-24",1736590
2013,"01","TOTAL DEL PAÍS","0","Ambos sexos","25-29",3250983
2013,"01","TOTAL DEL PAÍS","1","Varones","25-29",1620530
2013,"01","TOTAL DEL PAÍS","2","Mujeres","25-29",1630453
